DOI,journal_name,title,article_id,wos_id
https://doi.org/10.1016/j.learninstruc.2022.101597,LEARNING AND INSTRUCTION,Data-based differentiated instruction: The impact of standardized assessment and aligned teaching material on students? reading comprehension,35111,WOS:000803843300003
https://doi.org/10.1111/jcpp.13570,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,Destigmatizing perceptions about Black adolescent depression: randomized controlled trial of brief social contact-based video interventions,55632,WOS:000745630500001
https://doi.org/10.1037/pspi0000264,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,Who Sees Which Political Falsehoods as More Acceptable and Why: A New Look at In-Group Loyalty and Trustworthiness,32399,WOS:000811239500001
https://doi.org/10.1111/bjhp.12532,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,Psychological functioning and well-being before and after bariatric surgery; what is the benefit of being self-compassionate?,70072,WOS:000649585100001
https://doi.org/10.1177/09567976221122765,PSYCHOLOGICAL SCIENCE,Neural and Cognitive Signatures of Guilt Predict Hypocritical Blame,15849,WOS:000864880000001
https://doi.org/10.1016/j.learninstruc.2022.101595,LEARNING AND INSTRUCTION,Task ambiguity and academic procrastination: An experience sampling approach,17442,WOS:000861066500002
https://doi.org/10.1177/17456916221133826,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,The WEIRD Microcosm of Microaggression Research: Toward a Cultural-Psychological Approach,9641,WOS:000885354200001
https://doi.org/10.1080/00461520.2022.2089989,EDUCATIONAL PSYCHOLOGIST,Building bridges to advance the community of inquiry framework for online learning,28401,WOS:000824666200001
https://doi.org/10.1007/s11469-021-00548-5,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Moderating Influence of Predictive Control on the Near-Miss Effect-Gambling Intention Association in Nigerian Polytechnic Students,69724,WOS:000654093700001
https://doi.org/10.1017/S003329172100043X,PSYCHOLOGICAL MEDICINE,Comparison of social cognition using an adapted Chinese version of the Reading the Mind in the Eyes Test in drug-naive and regularly medicated individuals with chronic schizophrenia and healthy controls in rural China,71792,WOS:000785786500001
https://doi.org/10.1159/000521348,PSYCHOTHERAPY AND PSYCHOSOMATICS,Anxiolytic Effects of Chronic Intranasal Oxytocin on Neural Responses to Threat Are Dose-Frequency Dependent,53589,WOS:000750619900001
https://doi.org/10.1002/hrm.22158,HUMAN RESOURCE MANAGEMENT,The HR ecosystem: Emerging trends and a future research agenda,5173,WOS:000900830200001
https://doi.org/10.1007/s11469-020-00279-z,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Psychometric Validation of the Internet Disorder Scale-Short Form in an Italian Adult Sample,75234,WOS:000529878800002
https://doi.org/10.1002/job.2589,JOURNAL OF ORGANIZATIONAL BEHAVIOR,From lone wolves to members of the pack: Exploring interpersonal identity work within identity workspaces,57687,WOS:000735218900001
https://doi.org/10.1007/s10567-022-00379-3,CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,The Divorce Process and Child Adaptation Trajectory Typology (DPCATT) Model: The Shaping Role of Predivorce and Postdivorce Interparental Conflict,54109,WOS:000749406100001
https://doi.org/10.1037/apl0001038,JOURNAL OF APPLIED PSYCHOLOGY,Perceived Misalignment of Professional Prototypes Reduces Subordinates' Endorsement of Sexist Supervisors,26145,WOS:000830741200001
https://doi.org/10.1016/j.jadohealth.2022.05.019,JOURNAL OF ADOLESCENT HEALTH,"Youth-Reported School Connection and Experiences of a Middle School-Based Screening, Brief Intervention, and Referral to Treatment Initiative: Preliminary Results From a Program Evaluation",12885,WOS:000873233000009
https://doi.org/10.1177/09637214211053637,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,Do Social Networking Sites Influence Well-Being? The Extended Active-Passive Model,60801,WOS:000726490300001
https://doi.org/10.1017/S0033291721000817,PSYCHOLOGICAL MEDICINE,"Effects of tDCS during inhibitory control training on performance and PTSD, aggression and anxiety symptoms: a randomized-controlled trial in a military sample",71587,WOS:000787510100001
https://doi.org/10.1016/j.leaqua.2020.101459,LEADERSHIP QUARTERLY,Managerial commitment to the status quo and corporate divestiture: Can power motivate openness to change?,12992,WOS:000873381300006
https://doi.org/10.1016/j.jaac.2022.03.031,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,Antiracism Work in Schools: Using Dialectical Behavior Therapy Skills to Empower South Texas Educators,14308,WOS:000870028200005
https://doi.org/10.1007/s00787-022-02047-x,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Maternal pre-pregnancy BMI and offspring hyperactivity-inattention trajectories from 3 to 8 years in the EDEN birth cohort study,27547,WOS:000826844800001
https://doi.org/10.1016/j.learninstruc.2021.101500,LEARNING AND INSTRUCTION,"It's more about a lesson than a domain: Lesson-specific autonomy support, motivation, and engagement in math and a second language",60894,WOS:000725569800014
https://doi.org/10.1007/s11469-020-00421-x,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,"Personality, Cognition, and Adaptability to the COVID-19 Pandemic: Associations with Loneliness, Distress, and Positive and Negative Mood States",73247,WOS:000590498800001
https://doi.org/10.1016/j.jaac.2021.02.024,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,An Individual Participant Data Meta-analysis: Behavioral Treatments for Children and Adolescents With Attention-Deficit/Hyperactivity Disorder,54640,WOS:000747812300012
https://doi.org/10.1016/j.chb.2022.107493,COMPUTERS IN HUMAN BEHAVIOR,Understanding the state of criminological scholarship on cybercrimes,12502,WOS:000876428000005
https://doi.org/10.1037/pspa0000285,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,"""I"" Am More Concrete Than ""We"": Linguistic Abstraction and First-Person Pronoun Usage",54005,WOS:000749769000001
https://doi.org/10.1007/s00787-022-02133-0,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Cortical thickness abnormalities in autism spectrum disorder,3836,WOS:000901839100002
https://doi.org/10.1017/S0033291721000672,PSYCHOLOGICAL MEDICINE,Self-reported and mother-rated personality traits at age 16 are associated with cognitive function measured concurrently and 30 years later,71924,WOS:000785728500001
https://doi.org/10.1017/S0033291720004948,PSYCHOLOGICAL MEDICINE,Device-measured sedentary behaviour and anxiety symptoms during adolescence: a 6-year prospective cohort study,7100,WOS:000888833700012
https://doi.org/10.1007/s00787-021-01727-4,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Schizophrenia polygenic risk is associated with child mental health problems through early childhood adversity: evidence for a gene-environment correlation,71777,WOS:000622258700001
https://doi.org/10.1017/S0033291720003529,PSYCHOLOGICAL MEDICINE,Shared intrinsic functional connectivity alterations as a familial risk marker for ADHD: a resting-state functional magnetic resonance imaging study with sibling design,28105,WOS:000823927100015
https://doi.org/10.1007/s00787-022-02123-2,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Electroconvulsive therapy in children and adolescents: results from a population-based study utilising the Swedish National Quality Register,4336,WOS:000898703700001
https://doi.org/10.1037/met0000330,PSYCHOLOGICAL METHODS,Summary-Statistics-Based Power Analysis: A New and Practical Method to Determine Sample Size for Mixed-Effects Modeling,54434,WOS:000747998800001
https://doi.org/10.1177/10888683221095697,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,Social Movements as Parsimonious Explanations for Implicit and Explicit Attitude Change,33756,WOS:000808098000001
https://doi.org/10.1017/S0033291721005080,PSYCHOLOGICAL MEDICINE,Understanding the effects of neighborhood disadvantage on youth psychopathology,51165,WOS:000756115400001
https://doi.org/10.1007/s00787-021-01738-1,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Reported autism diagnosis is associated with psychotic-like symptoms in the Adolescent Brain Cognitive Development cohort,71729,WOS:000623711400002
https://doi.org/10.1002/job.2669,JOURNAL OF ORGANIZATIONAL BEHAVIOR,Karasek's activation hypothesis: A longitudinal test of within-person relationships,12171,WOS:000875402300001
https://doi.org/10.1002/da.23287,DEPRESSION AND ANXIETY,Psychiatric morbidity among men using anabolic steroids,13966,WOS:000871324100001
https://doi.org/10.1111/apps.12308,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,"Antecedents of employee thriving at work: The roles of formalization, ethical leadership, and interpersonal justice",72126,WOS:000620216200001
https://doi.org/10.1177/09567976221098594,PSYCHOLOGICAL SCIENCE,Belief in the Utility of Cross-Partisan Empathy Reduces Partisan Animosity and Facilitates Political Persuasion,20987,WOS:000847832300001
https://doi.org/10.1002/job.2649,JOURNAL OF ORGANIZATIONAL BEHAVIOR,Start with why: The transfer of work meaningfulness from leaders to followers and the role of dyadic tenure,30848,WOS:000816978900001
https://doi.org/10.1016/j.cedpsych.2022.102080,CONTEMPORARY EDUCATIONAL PSYCHOLOGY,Does the emotional stance of human and virtual instructors in instructional videos affect learning processes and outcomes?,34647,WOS:000806793200001
https://doi.org/10.1037/apl0000557,JOURNAL OF APPLIED PSYCHOLOGY,"A Meta-Analysis of Leadership and Workplace Safety: Examining Relative Importance, Contextual Contingencies, and Methodological Moderators",47306,WOS:000769674900001
https://doi.org/10.1037/tra0001244,PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,Impacts of the COVID-19 Pandemic on Rural Survivors of Intimate Partner Violence,41470,WOS:000787978000001
https://doi.org/10.1016/j.learninstruc.2022.101667,LEARNING AND INSTRUCTION,Impact of programming on primary mathematics learning,10727,WOS:000874919700009
https://doi.org/10.1002/job.2666,JOURNAL OF ORGANIZATIONAL BEHAVIOR,The interplay of career involvement and goal conflicts: An eight-wave study with STEM professionals,13251,WOS:000873825900001
https://doi.org/10.1037/amp0001002,AMERICAN PSYCHOLOGIST,Sharing Is Caring: Ethical Implications of Transparent Research in Psychology,45793,WOS:000778863900001
https://doi.org/10.1089/aut.2021.0082,AUTISM IN ADULTHOOD,Intersectional Stigma for Autistic People at Work: A Compound Adverse Impact Effect on Labor Force Participation and Experiences of Belonging,9484,WOS:000885659300001
https://doi.org/10.1037/pspp0000341,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,Clarifying the Structure and Nature of Left-Wing Authoritarianism,58336,WOS:000733079100001
https://doi.org/10.1037/tra0001161,PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,"The Role of Resilience and Gender: Understanding the Relationship Between Risk for Traumatic Stress, Resilience, and Academic Outcomes Among Minoritized Youth",57255,WOS:000739053600001
https://doi.org/10.1111/apps.12429,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,Can curiosity spark the fire of innovation? An investigation in China,19272,WOS:000853716300001
https://doi.org/10.1007/s10648-021-09629-2,EDUCATIONAL PSYCHOLOGY REVIEW,The State of Current Reading Intervention Research for English Learners in Grades K-2: a Best-Evidence Synthesis,67688,WOS:000671639100001
https://doi.org/10.1037/apl0000877,JOURNAL OF APPLIED PSYCHOLOGY,"Silence is Golden: Extended Silence, Deliberative Mindset, and Value Creation in Negotiation",59239,WOS:000733080600001
https://doi.org/10.1111/apps.12394,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,"Bad, mad, or glad? Exploring the relationship between leaders' appraisals or attributions of their use of abusive supervision and emotional reactions",38116,WOS:000796374200001
https://doi.org/10.1037/tra0000524,PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,Exploring the Buffering Role of Social Capital in the Development of Posttraumatic Stress Symptoms Among Iranian Earthquake Survivors,14544,WOS:000847855900022
https://doi.org/10.1002/mar.21614,PSYCHOLOGY & MARKETING,To protect and support: Why would consumers find foods tastier if these foods help support a desired self-identity,61246,WOS:000721767200001
https://doi.org/10.1016/j.chb.2022.107399,COMPUTERS IN HUMAN BEHAVIOR,Can smartphone presence affect cognitive function? The moderating role of fear of missing out,7578,WOS:000888461700005
